Mod:Item:MetaData, Localized Name
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:waterChannelFull:0, Wooden Irrigation Channel
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:channelValve:0, Wooden Channel Valve
AgriCraft:sprinkler, Sprinkler
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:seedStorage:0, Seed Storage
AgriCraft:peripheral, Computer Controlled Seed Analyzer
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fence:0, Fence
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:fenceGate:0, Fence Gate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:grate:0, Wooden Grate
AgriCraft:cropPotato, Potato
AgriCraft:cropCarrot, Carrot
AgriCraft:cropSugarcane, Sugarcane
AgriCraft:cropDandelion, Dandelion
AgriCraft:cropPoppy, Poppy
AgriCraft:cropOrchid, Orchid
AgriCraft:cropAllium, Allium
AgriCraft:cropTulipRed, Red Tulip
AgriCraft:cropTulipOrange, Orange Tulip
AgriCraft:cropTulipWhite, White Tulip
AgriCraft:cropTulipPink, Pink Tulip
AgriCraft:cropDaisy, Daisy
AgriCraft:cropCactus, Cactus
AgriCraft:cropShroomRed, Red Mushroom
AgriCraft:cropShroomBrown, Brown Mushroom
arcanearteries:arcanearteries manaRune, Botanical Rune
arcanearteries:arcanearteries thaumicRune, Thaumic Rune
ArchitectureCraft:sawbench, Architect's Sawbench
ArchitectureCraft:shape, Architectural Block
armourersWorkshop:block.armourerBrain, Armourer
armourersWorkshop:block.armourLibrary:0, Equipment Library
armourersWorkshop:block.armourLibrary:1, Equipment Library - (Creative)
armourersWorkshop:block.globalSkinLibrary, Global Skin Library
armourersWorkshop:block.awBoundingBox6, tile.armourersworkshop:armourersworkshop:awBoundingBox6.name
armourersWorkshop:block.colourable, Equipment Cube
armourersWorkshop:block.colourableGlowing, Equipment Cube (Glowing)
armourersWorkshop:block.colourableGlass, Glass Equipment Cube
armourersWorkshop:block.colourableGlassGlowing, Glass Equipment Cube (Glowing)
armourersWorkshop:block.colourMixer, Colour Mixer
armourersWorkshop:block.mannequin, Mannequin
armourersWorkshop:block.doll, Doll
armourersWorkshop:block.skinningTable, Skinning Table
armourersWorkshop:block.skinnable, Skinnable Block
armourersWorkshop:block.skinnableGlowing, tile.armourersworkshop:skinnableGlowing.name
armourersWorkshop:block.skinnableChild, tile.armourersworkshop:skinnableChild.name
armourersWorkshop:block.skinnableChildGlowing, tile.armourersworkshop:skinnableChildGlowing.name
armourersWorkshop:block.dyeTable, Dye Table
armourersWorkshop:block.hologramProjector, Hologram Projector
ThermalFoundation:Ore:0, Copper Ore
ThermalFoundation:Ore:1, Tin Ore
ThermalFoundation:Ore:2, Silver Ore
ThermalFoundation:Ore:3, Lead Ore
ThermalFoundation:Ore:4, Ferrous Ore
ThermalFoundation:Ore:5, Shiny Ore
ThermalFoundation:Ore:6, Mana Infused Ore
ThermalFoundation:Storage:0, Copper Block
ThermalFoundation:Storage:1, Tin Block
ThermalFoundation:Storage:2, Silver Block
ThermalFoundation:Storage:3, Lead Block
ThermalFoundation:Storage:4, Ferrous Block
ThermalFoundation:Storage:5, Shiny Block
ThermalFoundation:Storage:6, Mana Infused Block
ThermalFoundation:Storage:7, Electrum Block
ThermalFoundation:Storage:8, Invar Block
ThermalFoundation:Storage:9, Bronze Block
ThermalFoundation:Storage:10, Signalum Block
ThermalFoundation:Storage:11, Lumium Block
ThermalFoundation:Storage:12, Enderium Block
ThermalFoundation:FluidRedstone, Destabilized Redstone
ThermalFoundation:FluidGlowstone, Energized Glowstone
ThermalFoundation:FluidEnder, Resonant Ender
ThermalFoundation:FluidPyrotheum, Blazing Pyrotheum
ThermalFoundation:FluidCryotheum, Gelid Cryotheum
ThermalFoundation:FluidAerotheum, Zephyrean Aerotheum
ThermalFoundation:FluidPetrotheum, Tectonic Petrotheum
ThermalFoundation:FluidMana, Primal Mana
ThermalFoundation:FluidSteam, Steam
ThermalFoundation:FluidCoal, Liquifacted Coal
BigReactors:YelloriteOre:0, Yellorite Ore
BigReactors:BRMetalBlock:0, Yellorium Block
BigReactors:BRMetalBlock:1, Cyanite Block
BigReactors:BRMetalBlock:2, Graphite Block
BigReactors:BRMetalBlock:3, Blutonium Block
BigReactors:BRMetalBlock:4, Ludicrite Block
BigReactors:YelloriumFuelRod, Yellorium Fuel Rod
BigReactors:BRReactorPart:0, Reactor Casing
BigReactors:BRReactorPart:1, Reactor Controller
BigReactors:BRReactorPart:2, Reactor Control Rod
BigReactors:BRReactorPart:3, Reactor Power Tap
BigReactors:BRReactorPart:4, Reactor Access Port
BigReactors:BRReactorPart:5, Reactor Coolant Port
BigReactors:BRReactorPart:6, Reactor RedNet Port
BigReactors:BRReactorPart:7, Reactor Computer Port
BigReactors:BRMultiblockGlass:0, Reactor Glass
BigReactors:BRMultiblockGlass:1, Turbine Glass
BigReactors:BRReactorRedstonePort, Reactor Redstone Port
BigReactors:BRTurbinePart:0, Turbine Housing
BigReactors:BRTurbinePart:1, Turbine Controller
BigReactors:BRTurbinePart:2, Turbine Power Port
BigReactors:BRTurbinePart:3, Turbine Fluid Port
BigReactors:BRTurbinePart:4, Turbine Rotor Bearing
BigReactors:BRTurbinePart:5, Turbine Computer Port
BigReactors:BRTurbineRotorPart:0, Turbine Rotor Shaft
BigReactors:BRTurbineRotorPart:1, Turbine Rotor Blade
BigReactors:BRDevice:0, Cyanite Reprocesssor
BigReactors:tile.fluid.yellorium.still, Fluid Yellorium
BigReactors:tile.fluid.cyanite.still, Fluid Cyanite
BigReactors:BRMultiblockCreativePart:0, Reactor Creative Coolant Port
BigReactors:BRMultiblockCreativePart:1, Turbine Creative Steam Generator
BuildCraft|Core:eternalSpring:0, Water Spring
BuildCraft|Core:eternalSpring:1, Oil Spring
BuildCraft|Core:buildToolBlock, tile.buildToolBlock.name
BuildCraft|Core:engineBlock:0, Redstone Engine
BuildCraft|Core:engineBlock:1, Stirling Engine
BuildCraft|Core:engineBlock:2, Combustion Engine
BuildCraft|Core:engineBlock:3, Creative Engine
BuildCraft|Core:markerBlock, Land Mark
BuildCraft|Core:pathMarkerBlock, Path Mark
BuildCraft|Transport:filteredBufferBlock, Filtered Buffer
BuildCraft|Transport:pipeBlock, tile.pipeBlock.name
BuildCraft|Factory:miningWellBlock, Mining Well
BuildCraft|Factory:plainPipeBlock, Mining Pipe
BuildCraft|Factory:autoWorkbenchBlock, Auto Workbench
BuildCraft|Factory:tankBlock, Tank
BuildCraft|Factory:pumpBlock, Pump
BuildCraft|Factory:floodGateBlock, Flood Gate
BuildCraft|Factory:refineryBlock, Refinery
BuildCraft|Factory:blockHopper, Chute
BuildCraft|Silicon:laserBlock, Laser
BuildCraft|Silicon:laserTableBlock:0, Assembly Table
BuildCraft|Silicon:laserTableBlock:1, Advanced Crafting Table
BuildCraft|Silicon:laserTableBlock:2, Integration Table
BuildCraft|Silicon:laserTableBlock:3, Charging Table
BuildCraft|Silicon:laserTableBlock:4, Programming Table
BuildCraft|Silicon:laserTableBlock:5, Stamping Table
BuildCraft|Silicon:packagerBlock, Recipe Packager
BuildCraft|Robotics:zonePlan, Zone Planner
BuildCraft|Robotics:requester, Requester
BuildCraft|Energy:blockOil, Oil
BuildCraft|Energy:blockFuel, Fuel
BuildCraft|Energy:blockRedPlasma, tile.blockRedPlasma.name
BuildCraft|Builders:machineBlock, Quarry
BuildCraft|Builders:fillerBlock, Filler
BuildCraft|Builders:frameBlock, Frame
BuildCraft|Builders:builderBlock, Builder Block
BuildCraft|Builders:architectBlock, Architect Table
BuildCraft|Builders:libraryBlock, Electronic Library
BuildCraft|Builders:constructionMarkerBlock, Construction Mark
customnpcs:npcRedstoneBlock, Redstone Block
customnpcs:npcCarpentyBench:0, Carpentry Bench
customnpcs:npcCarpentyBench:1, Anvil
customnpcs:npcMailbox:0, Mailbox
customnpcs:npcMailbox:1, Mailbox
customnpcs:npcWaypoint, Location Quest Block
customnpcs:npcBorder, Border
customnpcs:npcBloodBlock, Blood Block
customnpcs:npcBanner:0, Banner
customnpcs:npcBanner:1, Banner
customnpcs:npcBanner:2, Banner
customnpcs:npcBanner:3, Banner
customnpcs:npcBanner:4, Banner
customnpcs:npcWallBanner:0, Wall Banner
customnpcs:npcWallBanner:1, Wall Banner
customnpcs:npcWallBanner:2, Wall Banner
customnpcs:npcWallBanner:3, Wall Banner
customnpcs:npcWallBanner:4, Wall Banner
customnpcs:npcTallLamp:0, Tall Lamp
customnpcs:npcTallLamp:1, Tall Lamp
customnpcs:npcTallLamp:2, Tall Lamp
customnpcs:npcTallLamp:3, Tall Lamp
customnpcs:npcTallLamp:4, Tall Lamp
customnpcs:npcChair:0, Chair
customnpcs:npcChair:1, Chair
customnpcs:npcChair:2, Chair
customnpcs:npcChair:3, Chair
customnpcs:npcChair:4, Chair
customnpcs:npcChair:5, Chair
customnpcs:npcCrate:0, Crate
customnpcs:npcCrate:1, Crate
customnpcs:npcCrate:2, Crate
customnpcs:npcCrate:3, Crate
customnpcs:npcCrate:4, Crate
customnpcs:npcCrate:5, Crate
customnpcs:npcWeaponRack:0, Weapon Rack
customnpcs:npcWeaponRack:1, Weapon Rack
customnpcs:npcWeaponRack:2, Weapon Rack
customnpcs:npcWeaponRack:3, Weapon Rack
customnpcs:npcWeaponRack:4, Weapon Rack
customnpcs:npcWeaponRack:5, Weapon Rack
customnpcs:npcCouchWool:0, Wool Couch
customnpcs:npcCouchWool:1, Wool Couch
customnpcs:npcCouchWool:2, Wool Couch
customnpcs:npcCouchWool:3, Wool Couch
customnpcs:npcCouchWool:4, Wool Couch
customnpcs:npcCouchWool:5, Wool Couch
customnpcs:npcCouchWood:0, Wooden Couch
customnpcs:npcCouchWood:1, Wooden Couch
customnpcs:npcCouchWood:2, Wooden Couch
customnpcs:npcCouchWood:3, Wooden Couch
customnpcs:npcCouchWood:4, Wooden Couch
customnpcs:npcCouchWood:5, Wooden Couch
customnpcs:npcTable:0, Wooden Table
customnpcs:npcTable:1, Wooden Table
customnpcs:npcTable:2, Wooden Table
customnpcs:npcTable:3, Wooden Table
customnpcs:npcTable:4, Wooden Table
customnpcs:npcTable:5, Wooden Table
customnpcs:npcStool:0, Stool
customnpcs:npcStool:1, Stool
customnpcs:npcStool:2, Stool
customnpcs:npcStool:3, Stool
customnpcs:npcStool:4, Stool
customnpcs:npcStool:5, Stool
customnpcs:npcPlaceholder:0, Placeholder
customnpcs:npcPlaceholder:1, Placeholder
customnpcs:npcPlaceholder:2, Placeholder
customnpcs:npcPlaceholder:3, Placeholder
customnpcs:npcPlaceholder:4, Placeholder
customnpcs:npcPlaceholder:5, Placeholder
customnpcs:npcPlaceholder:6, Placeholder
customnpcs:npcPlaceholder:7, Placeholder
customnpcs:npcPlaceholder:8, Placeholder
customnpcs:npcPlaceholder:9, Placeholder
customnpcs:npcPlaceholder:10, Placeholder
customnpcs:npcPlaceholder:11, Placeholder
customnpcs:npcPlaceholder:12, Placeholder
customnpcs:npcPlaceholder:13, Placeholder
customnpcs:npcPlaceholder:14, Placeholder
customnpcs:npcPlaceholder:15, Placeholder
customnpcs:npcBigSign, Big Sign
customnpcs:npcBarrel:0, Barrel
customnpcs:npcBarrel:1, Barrel
customnpcs:npcBarrel:2, Barrel
customnpcs:npcBarrel:3, Barrel
customnpcs:npcBarrel:4, Barrel
customnpcs:npcBarrel:5, Barrel
customnpcs:npcTombstone:0, Tombstone
customnpcs:npcTombstone:1, Tombstone
customnpcs:npcTombstone:2, Tombstone
customnpcs:npcShelf:0, Shelf
customnpcs:npcShelf:1, Shelf
customnpcs:npcShelf:2, Shelf
customnpcs:npcShelf:3, Shelf
customnpcs:npcShelf:4, Shelf
customnpcs:npcShelf:5, Shelf
customnpcs:npcSign:0, Sign
customnpcs:npcSign:1, Sign
customnpcs:npcSign:2, Sign
customnpcs:npcSign:3, Sign
customnpcs:npcSign:4, Sign
customnpcs:npcSign:5, Sign
customnpcs:npcBeam:0, Beam
customnpcs:npcBeam:1, Beam
customnpcs:npcBeam:2, Beam
customnpcs:npcBeam:3, Beam
customnpcs:npcBeam:4, Beam
customnpcs:npcBeam:5, Beam
customnpcs:npcBook, Book
customnpcs:npcPedestal:0, Pedestal
customnpcs:npcPedestal:1, Pedestal
customnpcs:npcPedestal:2, Pedestal
customnpcs:npcPedestal:3, Pedestal
customnpcs:npcPedestal:4, Pedestal
customnpcs:npcCrystalBlock:0, Crystal
customnpcs:npcCrystalBlock:1, Crystal
customnpcs:npcCrystalBlock:2, Crystal
customnpcs:npcCrystalBlock:3, Crystal
customnpcs:npcCrystalBlock:4, Crystal
customnpcs:npcCrystalBlock:5, Crystal
customnpcs:npcCrystalBlock:6, Crystal
customnpcs:npcCrystalBlock:7, Crystal
customnpcs:npcCrystalBlock:8, Crystal
customnpcs:npcCrystalBlock:9, Crystal
customnpcs:npcCrystalBlock:10, Crystal
customnpcs:npcCrystalBlock:11, Crystal
customnpcs:npcCrystalBlock:12, Crystal
customnpcs:npcCrystalBlock:13, Crystal
customnpcs:npcCrystalBlock:14, Crystal
customnpcs:npcCrystalBlock:15, Crystal
customnpcs:npcCampfire, Campfire
customnpcs:npcLamp, Lamp
customnpcs:npcCandle, Candle
customnpcs:npcCampfireUnlit, Campfire
customnpcs:npcLampUnlit, Candle
customnpcs:npcCandleUnlit, Lamp
EnderIO:blockStirlingGenerator, Stirling Generator
EnderIO:blockCombustionGenerator, Combustion Generator
EnderIO:blockZombieGenerator, Zombie Generator
EnderIO:blockSolarPanel:0, Photovoltaic Cell
EnderIO:blockSolarPanel:1, Advanced Photovoltaic Cell
EnderIO:blockSagMill, SAG Mill
EnderIO:blockAlloySmelter, Alloy Smelter
EnderIO:blockCapBank:0, Creative Capacitor Bank
EnderIO:blockCapBank:1, Basic Capacitor Bank
EnderIO:blockCapBank:1, Basic Capacitor Bank
EnderIO:blockCapBank:2, Capacitor Bank
EnderIO:blockCapBank:2, Capacitor Bank
EnderIO:blockCapBank:3, Vibrant Capacitor Bank
EnderIO:blockCapBank:3, Vibrant Capacitor Bank
EnderIO:blockPainter, Painting Machine
EnderIO:blockPaintedFence:0, Painted Fence
EnderIO:blockPaintedFenceGate:0, Painted Gate
EnderIO:blockPaintedWall:0, Painted Wall
EnderIO:blockPaintedStair:0, Painted Stairs
EnderIO:blockPaintedSlab:0, Painted Slab
EnderIO:blockPaintedDoubleSlab:0, Painted Slab
EnderIO:blockCrafter, Crafter
EnderIO:blockPaintedGlowstone:0, Painted Glowstone
EnderIO:blockPaintedCarpet:0, Painted Carpet
EnderIO:blockVat, The Vat
EnderIO:blockPowerMonitor, Power Monitor
EnderIO:blockFarmStation, Farming Station
EnderIO:blockWirelessCharger, Wireless Charger
EnderIO:blockHyperCube, Dimensional Transceiver (Deprecated)
EnderIO:blockTank:0, Fluid Tank
EnderIO:blockTank:1, Pressurized Fluid Tank
EnderIO:blockReservoir, Reservoir
EnderIO:blockVacuumChest, Vacuum Chest
EnderIO:blockTransceiver, Dimensional Transceiver
EnderIO:blockBuffer:0, Item Buffer
EnderIO:blockBuffer:1, Power Buffer
EnderIO:blockBuffer:2, Omni Buffer
EnderIO:blockBuffer:3, Creative Buffer
EnderIO:blockInventoryPanel, Inventory Panel
EnderIO:blockEnderIo, Ender IO
EnderIO:blockTravelAnchor, Travel Anchor
EnderIO:blockTelePad, Telepad Block
EnderIO:blockSliceAndSplice, Slice'N'Splice
EnderIO:blockSoulBinder, Soul Binder
EnderIO:blockPoweredSpawner, Powered Spawner
EnderIO:blockKillerJoe, Killer Joe
EnderIO:blockAttractor, Attractor Obelisk
EnderIO:blockSpawnGuard, Aversion Obelisk
EnderIO:blockExperienceObelisk, Experience Obelisk
EnderIO:blockWeatherObelisk, Weather Obelisk
EnderIO:blockInhibitorObelisk, tile.blockInhibitorObelisk.name
EnderIO:blockEnchanter, Enchanter
EnderIO:blockDarkSteelPressurePlate:0, Dark Pressure Plate
EnderIO:blockDarkSteelPressurePlate:1, Dark Pressure Plate
EnderIO:blockDarkSteelAnvil:0, Dark Steel Anvil
EnderIO:blockDarkSteelAnvil:1, Slightly Damaged Dark Steel Anvil
EnderIO:blockDarkSteelAnvil:2, Very Damaged Dark Steel Anvil
EnderIO:blockDarkSteelLadder, Dark Steel Ladder
EnderIO:blockElectricLight:0, Powered Light
EnderIO:blockElectricLight:1, Powered Light (Inverted)
EnderIO:blockElectricLight:2, Light
EnderIO:blockElectricLight:3, Light (Inverted)
EnderIO:blockElectricLight:4, Wireless Powered Light
EnderIO:blockElectricLight:5, Wireless Powered Light (Inverted)
EnderIO:blockLightNode, tile.blockLightNode.name
EnderIO:blockReinforcedObsidian, Reinforced Obsidian
EnderIO:blockFusedQuartz:0, Fused Quartz
EnderIO:blockFusedQuartz:1, Quite Clear Glass
EnderIO:blockFusedQuartz:2, Enlightened Fused Quartz
EnderIO:blockFusedQuartz:3, Enlightened Clear Glass
EnderIO:blockFusedQuartz:4, Dark Fused Quartz
EnderIO:blockFusedQuartz:5, Dark Clear Glass
EnderIO:blockEnderRail, Ender Rail
EnderIO:blockConduitBundle, Conduit Connector
EnderIO:blockConduitFacade, tile.blockConduitFacade.name
EnderIO:blockEndermanSkull:0, Enderman Head
EnderIO:blockEndermanSkull:2, Tormented Enderman Head
EnderIO:blockNutrient_distillation, Nutrient Distillation
EnderIO:blockHootch, Hootch
EnderIO:blockRocket_fuel, Rocket Fuel
EnderIO:blockFire_water, Fire Water
EnderIO:blockLiquid_sunshine, Liquid Sunshine
EnderIO:blockCloud_seed, Cloud Seed
EnderIO:blockCloud_seed_concentrated, Concentrated Cloud Seed
EnderIO:blockIngotStorage:0, Electrical Steel Block
EnderIO:blockIngotStorage:1, Energetic Alloy Block
EnderIO:blockIngotStorage:2, Vibrant Alloy Block
EnderIO:blockIngotStorage:3, Redstone Alloy Block
EnderIO:blockIngotStorage:4, Conductive Iron Block
EnderIO:blockIngotStorage:5, Pulsating Iron Block
EnderIO:blockIngotStorage:6, Dark Steel Block
EnderIO:blockIngotStorage:7, Soularium Block
EnderIO:blockDarkIronBars, Dark Iron Bars
EnderTech:endertech.enderTankPart:0, Ender Tank Frame
EnderTech:endertech.enderTankPart:6, Ender Tank Valve
EnderTech:endertech.enderTankPart:7, Ender Tank Energy Input
EnderTech:endertech.multiblockGlass:0, Ender Tank Glass
EnderTech:endertech.enderTankController:0, Ender Tank Controller
EnderTech:chargePad:0, Creative Charge Pad
EnderTech:chargePad:2, Resonant Charge Pad
EnderTech:chargePad:1, Redstone Charge Pad
EnderTech:healthPad:0, Creative Health Pad
EnderTech:healthPad:2, Resonant Health Pad
EnderTech:healthPad:1, Redstone Health Pad
evilcraft:blockBlood:0, Blood
evilcraft:darkOre:0, Dark Ore
evilcraft:darkBlock:0, Dark Block
evilcraft:lightningBomb:0, Lightning Bomb
evilcraft:bloodInfuser:0, Blood Infuser
evilcraft:bloodyCobblestone:0, Bloody Cobblestone
evilcraft:netherMonsterBlock:0, Nether Monster Egg
evilcraft:netherMonsterBlock:1, Nether Monster Egg
evilcraft:netherMonsterBlock:2, Nether Monster Egg
evilcraft:hardenedBlood:0, Hardened Blood
evilcraft:obscuredGlass:0, Obscured Glass
evilcraft:bloodChest:0, Blood Chest
evilcraft:environmentalAccumulator:0, Environmental Accumulator
evilcraft:undeadLeaves:0, Undead Leaves
evilcraft:undeadLog:0, Undead Log
evilcraft:undeadSapling:0, Undead Sapling
evilcraft:undeadPlank:0, Undead Plank
evilcraft:blockPoison:0, Poison
evilcraft:purifier:0, Purifier
evilcraft:darkBrick:0, Dark Brick
evilcraft:darkBloodBrick:0, Dark Blood Brick
evilcraft:spiritFurnace:0, Spirit Furnace
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:darkTank:0, Dark Tank
evilcraft:sanguinaryPedestal:0, Sanguinary Pedestal
evilcraft:sanguinaryPedestal:1, Sanguinary Pedestal
evilcraft:spikedPlate:0, Spiked Plate
evilcraft:spiritReanimator:0, Spirit Reanimator
evilcraft:entangledChalice:0, Entangled Chalice
evilcraft:darkPowerGemBlock:0, Dark Power Gem Block
evilcraft:gemStoneTorch:0, GemStone Torch
evilcraft:eternalWaterBlock, Eternal Water Block
evilcraft:bloodWaxedCoalBlock:0, Block of Blood-Waxed Coal
evilcraft:spiritPortal:0, Spirit Portal
